NAME,CATEGORY,LANG,TYPE,STATUS,MEMO
リレーショナルデータベース入門―データモデル・SQL・管理システム,システム基盤・インフラ,JPN,Kindle,UNREAD,
現場のインフラ屋が教える インフラエンジニアになるための教科書,システム基盤・インフラ,JPN,Physical,READ,
UNIXという考え方―その設計思想と哲学,システム基盤・インフラ,JPN,Physical,READ,
まんがでわかるLinux　シス管系女子,システム基盤・インフラ,JPN,Kindle,READ,
［試して理解］Linuxのしくみ ～実験と図解で学ぶOSとハードウェアの基礎知識,システム基盤・インフラ,JPN,Kindle,READ,
Webを支える技術 ―― HTTP，URI，HTML，そしてREST,システム基盤・インフラ,JPN,Kindle,READ,
マスタリングTCP/IP 入門編　第5版,システム基盤・インフラ,JPN,Kindle,READ,
CPUの創りかた,システム基盤・インフラ,JPN,Physical,READ,
DNSがよくわかる教科書,システム基盤・インフラ,JPN,Kindle,READ,
ネットワークがよくわかる教科書,システム基盤・インフラ,JPN,Kindle,READ,
systemdの思想と機能　Linuxを支えるシステム管理のためのソフトウェアスイート Software Design plus,システム基盤・インフラ,JPN,Kindle,READ,
みんなのDocker/Kubernetes,システム基盤・インフラ,JPN,Kindle,READ,
Kubernetesの知識地図 —— 現場での基礎から本番運用まで,システム基盤・インフラ,JPN,Kindle,READING,
入門UNIXシェルプログラミング―シェルの基礎から学ぶUNIXの世界,プログラミング・開発,JPN,Physical,READ,
Pythonスタートブック,プログラミング・開発,JPN,Physical,READ,
入門 Python 3,プログラミング・開発,JPN,Physical,UNREAD,
改訂2版 みんなのGo言語,プログラミング・開発,JPN,Kindle,READ,
実用 Go言語,プログラミング・開発,JPN,Apple ebook,READ,
Go言語プログラミングエッセンス エンジニア選書,プログラミング・開発,JPN,Kindle,READ,
1冊ですべて身につくJavaScript入門講座,プログラミング・開発,JPN,Kindle,READ,
Goならわかるシステムプログラミング,プログラミング・開発,JPN,Kindle,READ,
入門 eBPF,プログラミング・開発,JPN,Kindle,READING,
文系プログラマーのためのPythonで学び直す高校数学,プログラミング・開発,JPN,Physical,READ,
リーダブルコード ―より良いコードを書くためのシンプルで実践的なテクニック,設計・品質,JPN,Physical,READ,
脳に収まるコードの書き方,設計・品質,JPN,Kindle,READ,
Tidy First?,設計・品質,JPN,Kindle,READ,
"Good Code, Bad Code ～持続可能な開発のためのソフトウェアエンジニア的思考",設計・品質,JPN,Kindle,READ,
オブジェクト指向設計実践ガイド,設計・品質,JPN,Kindle,READING,
SQLアンチパターン,設計・品質,JPN,Apple ebook,READ,
モノリスからマイクロサービスへ ―モノリスを進化させる実践移行ガイド,設計・品質,JPN,Physical,READ,
ソフトウェアアーキテクチャの基礎,設計・品質,JPN,Apple ebook,READ,
ソフトウェアアーキテクチャ・ハードパーツ,設計・品質,JPN,Apple ebook,READ,
システム設計の面接試験,設計・品質,JPN,Kindle,READ,
ソフトウェアアーキテクチャメトリクス,設計・品質,JPN,Kindle,READ,
Clean Architecture　達人に学ぶソフトウェアの構造と設計,設計・品質,JPN,Kindle,READ,
アーキテクトの教科書 価値を生むソフトウェアのアーキテクチャ構築,設計・品質,JPN,Kindle,READ,
Googleのソフトウェアエンジニアリング,設計・品質,JPN,Apple ebook,READ,
"Effective DevOps: Building a Culture of Collaboration, Affinity, and Tooling at Scale",運用・SRE・DevOps,ENG,Kindle,READ,
Site Reliability Engineering: How Google Runs Production Systems,運用・SRE・DevOps,ENG,Kindle,READING,
The DevOps　逆転だ！究極の継続的デリバリー,運用・SRE・DevOps,JPN,Kindle,READ,
Accelerate: The Science of Lean Software and DevOps,運用・SRE・DevOps,ENG,Kindle,READ,
SREの探求--様々な企業におけるサイトリライアビリティエンジニアリングの導入と実践,運用・SRE・DevOps,JPN,Apple ebook,READING,
オブザーバビリティ・エンジニアリング,運用・SRE・DevOps,JPN,Apple ebook,READ,
運用☆ちゃんと学ぶ システム運用の基本,運用・SRE・DevOps,JPN,Kindle,READ,
入門 監視 ―モダンなモニタリングのためのデザインパターン,運用・SRE・DevOps,JPN,Physical,READ,
詳解 システム・パフォーマンス,運用・SRE・DevOps,JPN,Physical,READ,
達人が教えるWebパフォーマンスチューニング　〜ISUCONから学ぶ高速化の実践,運用・SRE・DevOps,JPN,Kindle,READ,
Serverspec,運用・SRE・DevOps,JPN,Physical,READ,
Chef実践入門 ~コードによるインフラ構成の自動化,運用・SRE・DevOps,JPN,Physical,READ,
わかばちゃんと学ぶ Git使い方入門,運用・SRE・DevOps,JPN,Kindle,READ,
CircleCI実践入門──CI/CDがもたらす開発速度と品質の両立,運用・SRE・DevOps,JPN,Physical,READ,
体系的に学ぶ 安全なWebアプリケーションの作り方,セキュリティ・テスト,JPN,Kindle,READ,
知識ゼロから学ぶソフトウェアテスト 【改訂版】,セキュリティ・テスト,JPN,Kindle,READING,
エンジニアリング組織論への招待 ~不確実性に向き合う思考と組織のリファクタリング,組織・マネジメント,JPN,Physical,READ,
カイゼン・ジャーニー たった1人からはじめて、「越境」するチームをつくるまで,組織・マネジメント,JPN,Kindle,READ,
チームトポロジー　価値あるソフトウェアをすばやく届ける適応型組織設計,組織・マネジメント,JPN,Kindle,READ,
スタッフエンジニアの道 ―優れた技術専門職になるためのガイド,組織・マネジメント,JPN,Kindle,READ,
技術リーダーシップのための14のヒント,組織・マネジメント,JPN,Kindle,READ,
プロジェクトマネジメントの基本が全部わかる本,組織・マネジメント,JPN,Kindle,READ,
アジャイルな見積りと計画づくり ～価値あるソフトウェアを育てる概念と技法～,組織・マネジメント,JPN,Kindle,READ,
マネジメントは嫌いですけど,組織・マネジメント,JPN,Kindle,READ,
SOFT SKILLS　ソフトウェア開発者の人生マニュアル,キャリア・スキル,JPN,Kindle,READ,
スタッフエンジニア　マネジメントを超えるリーダーシップ,キャリア・スキル,JPN,Kindle,READ,
技術者のためのテクニカルライティング入門講座,キャリア・スキル,JPN,Kindle,READ,
プロダクトマネジメントのすべて 事業戦略・IT開発・UXデザイン・マーケティングからチーム・組織運営まで,キャリア・スキル,JPN,Kindle,READ,
ストーリーとしての競争戦略,キャリア・スキル,JPN,Kindle,READ,
SINGLE TASK 一点集中術,キャリア・スキル,JPN,Kindle,READ,
プログラミングコンテスト攻略のためのアルゴリズムとデータ構造,数学・アルゴリズム,JPN,Physical,READ,
数学ガールの秘密ノート/ビットとバイナリー,数学・アルゴリズム,JPN,Physical,READ,
プログラマの数学,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／やさしい統計,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／整数で遊ぼう,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／丸い三角関数,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／数列の広場,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／式とグラフ,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／微分を追いかけて,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／ベクトルの真実,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／場合の数,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／積分を見つめて,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／学ぶための対話,数学・アルゴリズム,JPN,Kindle,READ,
数学ガールの秘密ノート／複素数の広がり,数学・アルゴリズム,JPN,Kindle,READ,
Pythonではじめる数学の冒険,数学・アルゴリズム,JPN,Physical,READING,
数学ガールの秘密ノート／確率の冒険,数学・アルゴリズム,JPN,Kindle,READ,
